Time [s]	Temp. [ C]	E1	E3	E4	F1	F3	F4	G1	G3	G4	Time_hs	Time
33300.3	   29.1	 6859.0	13479.0	17313.0	 6944.0	11395.0	17203.0	 6751.0	17735.0	18447.0	9.250083333333333	9.25008333333333
33600.3	   29.3	 6983.0	13744.0	16952.0	 6779.0	11839.0	16723.0	 6734.0	18029.0	18410.0	9.333416666666666	9.33341666666667
33900.3	   29.4	 6937.0	13185.0	16927.0	 6831.0	11565.0	17525.0	 6905.0	17548.0	18460.0	9.41675	9.41675
34200.3	   29.3	 6874.0	13342.0	17132.0	 6949.0	11569.0	17032.0	 6909.0	17935.0	18306.0	9.500083333333333	9.50008333333333
34500.3	   29.1	 6877.0	13277.0	17097.0	 6805.0	11381.0	17132.0	 6813.0	17730.0	18188.0	9.583416666666666	9.58341666666667
34800.3	   29.3	 6763.0	13264.0	16945.0	 6852.0	11343.0	16835.0	 6914.0	17674.0	18227.0	9.66675	9.66675
35100.3	   29.2	 6809.0	13691.0	16917.0	 6809.0	11381.0	16986.0	 6807.0	17886.0	18606.0	9.750083333333333	9.75008333333333
35400.3	   29.3	 6819.0	13554.0	16917.0	 6713.0	11783.0	16892.0	 6895.0	18191.0	18583.0	9.833416666666666	9.83341666666667
35700.3	   29.1	 7004.0	13254.0	16748.0	 6693.0	11382.0	16885.0	 6990.0	17614.0	18300.0	9.91675	9.91675
36000.3	   29.4	 6692.0	13164.0	16936.0	 6780.0	11543.0	17030.0	 6961.0	17730.0	18376.0	10.000083333333333	10.0000833333333
36300.3	   29.3	 6717.0	13695.0	17148.0	 6853.0	11168.0	17190.0	 6927.0	17764.0	18188.0	10.083416666666666	10.0834166666667
36600.3	   29.4	 6700.0	13511.0	16865.0	 6713.0	11457.0	16872.0	 6731.0	17794.0	18146.0	10.16675	10.16675
36900.3	   29.1	 6987.0	13577.0	17163.0	 6927.0	11371.0	16883.0	 6923.0	18004.0	18496.0	10.250083333333333	10.2500833333333
